tsne-2d-one,tsne-2d-two,CustomerStatus
36.009544,-0.21219492,0
-26.007381,-5.4090195,0
18.823591,25.31704,0
-14.831929,8.953761,0
-10.495547,19.577932,0
-18.267078,-20.888052,0
15.841008,4.8500056,0
1.6392789,22.146748,0
-10.689624,-16.242682,0
-19.442995,-12.86454,1
-25.567833,-11.291861,0
-3.8389566,-8.240863,0
22.93825,7.8141003,0
3.7393486,-26.181633,0
12.321632,-5.4224024,0
-1.797016,-29.464756,0
1.9740499,30.989414,0
-34.40244,2.8470204,0
3.8381996,-22.755281,0
26.891394,5.518203,0
-4.6018553,-24.90303,0
2.952221,-10.326172,0
-12.203925,-22.287289,0
-21.440548,14.979257,0
-10.769332,-25.219303,0
-6.8930025,5.577168,0
-27.275785,3.9129076,0
7.890193,7.357208,0
26.474924,15.9032545,0
1.1577164,4.8209867,0
-10.65134,-2.9786773,0
19.91999,5.9999638,0
16.433826,26.391409,0
1.9899576,25.875977,0
-24.584196,6.1853714,0
11.92579,1.9079767,0
14.639268,-4.7591386,0
13.845026,10.328935,0
-31.881393,4.566313,0
4.1571727,2.5514042,0
-21.485947,16.977066,0
-3.1534655,6.193477,0
13.71204,-6.340803,0
18.738968,17.631079,0
-1.8517395,26.953299,0
37.652355,-0.71664786,0
16.316631,12.932306,0
-22.846556,-4.6319914,0
11.410156,32.147053,0
19.136576,23.529886,0
-3.0402236,4.637038,0
8.282553,6.43967,0
-4.304982,21.751968,0
40.199936,-3.4717085,0
0.36604348,4.2893486,0
21.732632,-12.568423,0
39.731495,1.4775113,0
15.326588,21.195465,0
23.265902,23.073828,0
3.3011327,19.260866,0
4.9451017,26.706293,0
2.4636166,-3.145358,0
-1.4310336,1.675103,0
24.984163,-8.890408,0
4.1379247,13.187081,0
-29.4182,4.429627,0
3.4505327,19.217873,0
14.139505,18.161211,0
-12.026118,-13.732315,0
14.064911,-0.757616,0
4.201904,32.974937,0
7.2402477,2.769333,0
-1.974826,25.448147,0
9.882793,10.260181,0
-13.1439905,10.87967,0
-23.94867,-1.0706638,0
13.503989,8.632463,0
-3.8134375,-7.636547,0
-32.964947,-12.503193,1
-8.449822,-23.844168,0
14.5055485,24.225122,0
-4.3076067,-3.254453,0
7.309974,0.5599555,0
25.404387,12.665438,0
-21.669212,-17.419153,0
-35.924816,-2.4208686,0
-36.064014,-5.370403,0
-2.8488538,-22.960634,0
12.103462,-10.802798,0
5.458364,28.593727,0
-2.240957,15.727192,0
-2.1497872,-25.251715,0
39.01224,-5.7480145,0
-29.497272,-8.138986,0
-10.777433,-29.312922,0
-1.6398157,-28.444279,0
32.743298,1.5433761,0
-2.6421196,-30.844158,3
-12.089156,-15.293229,1
-32.23328,-15.147292,0
10.280227,1.7777369,0
-22.018637,-10.268218,0
-27.840136,-9.164889,0
41.615376,-2.3342922,0
37.43894,-7.697054,0
-7.858461,-21.040857,0
-34.80414,0.6745725,0
4.4890647,30.148174,0
-30.72374,-14.12634,0
-8.185612,-21.522446,0
33.09203,-3.1881416,0
3.5069983,24.496874,0
-6.5185795,19.252232,0
-21.911991,-5.0205035,0
-2.0697966,26.239256,0
11.3741255,22.961731,0
-16.156675,-23.654686,0
-21.290234,-18.752604,0
-9.673485,-16.78875,0
0.3876568,-7.1576753,0
23.671234,9.649274,0
-25.904083,7.498354,0
38.70246,-4.879778,0
-0.2658704,-19.987486,0
32.62911,0.13604337,0
41.31382,-1.5174768,0
-20.90518,-14.185336,0
12.669123,6.342036,0
-25.963745,-3.1534872,0
-10.563479,17.211412,0
8.388392,12.104998,0
35.874058,-7.609573,0
-1.6046635,-21.80075,0
24.139896,-9.0587635,0
8.779219,-9.253331,0
-28.2591,5.1547046,0
-32.551907,-2.9952435,0
-29.443848,-0.13069743,0
-7.6061525,8.248052,0
31.838108,-6.9600277,0
-5.0563173,1.4690125,1
-11.022256,-23.524885,0
-12.66865,8.961218,0
-17.037449,11.604015,0
-18.816462,11.335038,0
23.22299,1.429859,0
23.530281,-12.707731,0
-9.333965,-29.065254,0
